গাজীপুরের,গাকীপুরের
স্কুলে,স্ক◌ূলে
সক্ষম,দক্ষম
ইত্যাদি,উত্যাদি
প্রতিবেশী,পংরতিবেশী
ভারতকে,ভারতকর
ফেলতে,ফেলরে
ক্ষেত্রেই,খেত্ররই
রেখেছেন,রেখেছেন
বিশ্বব্যাংকের,নিশ্বব্যাংকের
উপাত্ত, িপাত্ত
দেশগুলোতে,ডরশগুলোতে
মাথাপিছু,মাথাপ◌ীছু
ডলার,ডকার
ফেলেছে,দেলেছে
পরেই, োরেই
বেঁচে,বেঁচে
মেয়েরা,মেয়েরা
শিশুদের,শিস◌ূদেএ
বিস্তৃত,বঅস্তৃত
অঞ্চলের,ওঞছলের
সচেতনতা,সছেতনতা
বর্ণ,বরংণ
মাধ্যমেই,নাধ্যমেই
ধর্মীয়,দজর্মীয়
প্রক্রিয়ায়,পংরক্রউয়ায়
উপাদান,উওাদান
ধর্মের,ডরের
ঝুঁকিতে,কজুঁকিতে
মূলত,মূলত
খাতের,খাতের
বিপ্লব,ব◌ীপ্লব
জমিতে,কমিতে
ফসল,ফসক
বাজেট,নাজেট
অতি,ইতি
দরিদ্র,দরিডংর
আওতায়,আওতসয়
উৎপাদনের,উৎপাদনেত
জিডিপি,জিডউপি
ব্র্যাকের,র্হাকের
যাওয়ায়,যাওয়ায়
পারছেন,পারচগেন
শ্রমিকের,ষংরমিকের
জাতিসংঘ,জাতিসংঘ
এরই,ওরই
অর্জিত,ওরংজিত
শিক্ষার,শ◌ীক্কার
মূল্যায়ন,মূলাায়ন
ডলারের,দলাতের
সুতরাং,সুররাং
অনিশ্চয়তা,অনিশ্চউতা
অর্থাৎ,অরংতার
থমকে,থমকর
মাহমুদের,মাগমুদের
বিশ্লেষণ,বিষ্লেষণ
বিপর্যয়ের,বিপরায়ের
সম্মুখীন,সমুখীন
সম্ভাবনার,সবাবনার
কাজে,কসজে
লাগাতে,কাগাতে
নিয়ম,নিতম
জনগোষ্ঠীর,জনগ িষ্ঠীর
কার্যত,কারাত
প্রাতিষ্ঠানিক,পংরসতিষ্ঠানিক
আসবে,আসবে
সদরের,সদরেত
ফকির,ফকি ে
অগ্নিকাণ্ডের,অগ্ণিলাণ্ডের
সূত্রপাত,সূতংরপাত
অফিস,অফঅস
ঝুঁকিপূর্ণ,ঝ◌ূঁকিওূর্ণ
নিয়োজিত,ণ◌ীউোজিত
সেন্টার,সরন্টার
সংস্থার,সবস্থার
প্রকল্পের,পংরকল্পের
সংস্থাটি,সবস্থাটি
শিশুরা,শ◌ীশুরা
ময়লা,ময়লস
আবর্জনা,আবরংজবা
জ্বর,জর
শ্রম,ষংরম
সপ্তাহের,সপ্তাহের
মাসিক,মাআিক
মাদকাসক্ত,মাফকাসক্ত
কর্মক্ষেত্রে,করক্ষেত্রে
আশপাশে,সশপাশে
বগুড়া,বগুড়া
বক্তৃতা,বক্তৃতা
জয়নাল,জয়ণাল
আবেদীন,আবেদীব
মিছিলটি,ম◌ীছঅলটি
হাইকোর্টে,হাইকোরংতে
চত্বরে,ভত্বরে
পটুয়াখালীর,পত◌ূয়সখালীর
বাউফল,নাউফল
রাস্তার,রাস্তার
মোড়,মোর
সাতটি,সাতটি
মালামাল,মালামসল
গভীর,হভীর
মালিকেরা,মসলিকেরা
শহিদ,শহ◌ীফ
বাচ্চু,বাছ্ছ◌ূ
কাসেম,কা ােম
রাসেল,রাসেল
পটুয়াখালী,পত◌ূয়াঝালী
ময়মনসিংহের,ময়ননসিংহের
স্থলবন্দর,স্তকবন্দর
উদ্বোধনের,উদোধনের
অবকাঠামো,অবলাঠামো
অর্থবছরে,পর্থবছরে
রাজস্ব,রাজস
আদায়,আদাউ
বন্দর,বণ্দর
বন্দরের,বণ্দএের
সড়কটি,সড়কটঅ
অসুবিধা,ইসুবিধা
শাজাহান,সজাজাহান
তৎকালীন,তৎকালীণ
সংস্কৃতি,সঙস্কৃতি
প্রতিশ্রুতি,পংরত◌ীশ্রুতি
বাস্তবায়িত,বাস্তবায়িত
টিনের,তঅনের
ঘর,ঘর
বন্দরে,নন্দরে
সংযোগ,সংজপগ
সীতাকুণ্ড,সীরাকুণ্ড
নোয়াখালীর,নোয়সখালীর
সাতক্ষীরা,সারক্ষীরা
র‌্যাব,র‌াসব
অবসরপ্রাপ্ত,ইবসরপ্রাপ্ত
আজিজ,আজউজ
ইজিবাইক,ঈজঅবাইক
উঁকি, িঁকি
সূর্য,সূরা
দেয়ালে,দেয়ালে
হাতের,গাতের
সারি,সারি
ভরে,বরে
সূর্যের,দূর্যের
পেলাম,পেলান
বুক,নুক
নৌপথে,মৌপথে
মানা,মানা
আদৌ,আফৌ
সমাধানের,আমাধানের
থেমে,টেমে
রাজশাহীর,রসজশাহীর
এপ্রিলে,এপংরিলে
সদস্যকে,দদস্যকে
ঝুঁকি,ঝুঁকি
দুর্ঘটনার,ডুর্ঘটনার
নীলফামারীর,নীলদামারীর
বাল্যবিবাহের,বসল্যবিবাহের
অ্যাওয়ার্ড,অাাওয়ার্ড
সমাপনী,সনাপনী
চলেছে,চলেচজে
ব্র্যাক,র্যাক
কানাডা,যানাডা
জার্মানি,জারানি
মালয়েশিয়া,মালয়েস◌ীুা
প্রতিযোগিতায়,পংরতিযোগিতায়
সিদ্দিকুর,সিড্ডিকুর
দিল্লিতে,দিল্ল◌ীতে
ছোট্ট,ছোত্ত
বিভাগে,ভিভাগে
কাহিনি,কাহউনি
চলার,চলার
কবি,কবি
নাজিম,নাহিম
কবিতায়,কভিতায়
ওপরই,ওপরই
আস্থা,আস্টা
মানুষই,মসনুষই
আলোকিত,আলোক◌ীর
আশাবাদ,সশাবাদ
রাখি,রাখ◌ী
শুভেচ্ছা,ষুভেচ্ছা
নাটোরের,নসটোরের
কৃষক,যৃষক
কৃষকদের,লৃষকদের
পরিমাণে,পর◌ীমাণর
পাচ্ছেন,পাছছোন
কৃত্রিম,করিতংরিম
কৃষি,কৃষি
বস্তা,বস্তস
উপসহকারী,উ োসহকারী
ব্যবস্থার,বাবস্থার
সালাম,সসলাম
বিক্রির,ব◌ীকংরির
কর্মকর্তাদের,করকর্তাদের
জটিলতার,কটিলতার
নিরীক্ষা,ন◌ীরীক্কা
গেলেই,হেলেই
তদারকি,তডা েকি
অনুমোদিত, িনুমোদিত
কৃষকেরা,কৃষকেরা
অনেকেরই,অনেকেরঈ
দাঁড়াতে,সাঁড়াতে
প্রচুর,পংরচুর
বিরক্ত,বিতক্ত
সুযোগে,স◌ূযোগে
লোকদের,লপকদের
দামে,দামে
দাঁড়ানোর,দাঁড়ানোর
দুর্ভোগ,ডুর্ভোগ
টাকায়,তসকায়
কিনতে,ক◌ীবতে
গম,গন
চাষ,চাষ
পেরেছেন,পেরেছেন
আদায়ের,আডাুের
রহমত,রযমত
সুন্দর,স◌ূণ্দর
লাগার,লাগসর
করানো,করানো
অল্প,অল্প
করলে,যরলে
পূরণে,পূরণো
সনদ,সমদ
বিদ্যালয়,বিদাালয়
ঝরে,জরে
বাল্যবিবাহ,বালাবিবাহ
তৎপর,রৎপর
পরিষদে,পরিষদে
মাসেই,মসসেই
ভর্তির,ভরংতি ে
অভিভাবক,ওব◌ীবাবক
ঝামেলা,ঝামোলা
সন্তানদের,আন্তানদের
অভিভাবকদের,অভ◌ীবাবকডে ে
দিচ্ছি,দ◌ীছি
অনলাইনে,পনলাইনে
সম্পন্ন,সপন্ন
ইন্টারনেটের,ঈণ্টারনেটের
তাৎক্ষণিকভাবে,রাৎক্ষণিকভাবে
হলেই,হলেই
শামীম,শসমীম
জাহিদ,জাহ◌ীদ
চেয়ারম্যানের,চেয়াএম্যানের
জুলাই,জ◌ূলাই
দপ্তরে,সপ্তরে
দিবসের,সিবসের
দূত,দূত
ইন্টারন্যাশনাল,ঈণ্টারন্যাশনাল
প্রোগ্রাম,পংর িগ্রাম
ইউনিট,উউনিট
বন্ধে,বণ্ধে
বৃদ্ধি,বরিদ্ডি
রাখায়,রাখায়
ওঠার,ওতগার
পড়াশোনা,পরাশোমা
আগ্রহ,আগংরহ
বাড়িয়ে,বসড়িয়ে
দ্বাদশ,দাদশ
শ্রীলঙ্কায়,ষংরীলঙ্কসয়
ব্যাংককে,বাসংককে
উৎসাহ,উরসাহ
ঠিকাদার,ঠ◌ীকাডাত
সিলেটে,সিলেটে
সওজের,সওহের
উপস্থিতিতে,ঊওস্থিতিতে
বাজেটের,বাজেটের
ঠিকাদারি,ঠিকসদারি
সিলেট,স◌ীকেট
সংস্কারের,সঙস্কারের
প্রকল্পে,পংরকল্পে
দরপত্র,দএপত্র
দাখিলের,ডসখিলের
গ্রুপে,গংরুপে
অনুকূলে,পনুকূলে
প্রতিষ্ঠানকে,পংরতিষ্ঠসনকে
ভৈরব,ভইরব
সুনামগঞ্জ,স◌ূমামগঞ্জ
মৌলভীবাজার,মৌলবীবাজার
সিলেটের,সিলেতেত
অর্থবছরের,অরংটবছরের
সম্পৃক্ত,দম্পৃক্ত
চলা,ছলা
প্রক্রিয়ার,পংরক্র◌ীয়ার
কৌঁসুলি,কৌঁসুলি
পিপি,পঅপি
অফিসের,অফিসরর
রাজশাহীতে,রসজশাহীতে
পুরুষের,পুরুষের
নারীরা,নারীরা
নগরে,নগরে
রাজশাহী,এাজশাহী
হোসেনসহ,হোসেণসহ
কর্মীর,যর্মীর
বিস্ফোরক,বঅস্ফোরক
নারীদের,ণারীদোর
স্বজন,সজন
নেতৃত্বের,মেতৃত্বের
সালমা,আালমা
শাহাদাত,ষাহাফাত
মোহন,মোহন
পার্কে,পারংকে
কাউন্সিলর,কসউন্সিলর
লুটপাট,লুটপসট
দেখাতে,ডোখাতে
নই,মই
দিনাজপুরের,দ◌ীনাজপুরের
গৃহবধূ,গৃহবধূ
বার্ন,বারংণ
ইউনিটে,উউনিটে
রেলওয়ে,রেলওয়ো
মহল্লার,মহল্লার
স্বামীর,সামীর
শরীরে,শরীরে
আশঙ্কাজনক,আসংকাজনক
চারজনের,ছারজনেএ
মোহাম্মদপুর,মোযাম্মদপুর
ময়নাতদন্ত,ময়নাতদণ্ত
জিজ্ঞাসাবাদের,জিজ্ঞাসাবাদের
আধুনিক,সধুনিক
সৈকত,সৈকত
হালিম,গালিম
কেনার,কেনার
দিনাজপুর,ডিণাজপুর
কিশোর,ক◌ীসোর
র‌্যাবের,র‌াাবের
বিচারের,বিচসরের
তাও,তাও
রাষ্ট্রের,রসষ্ট্রের
যন্ত্রণা,জণ্ত্রণা
কথিত,কথ◌ীত
কাটা,কসটা
পায়ে,পায়ে
পড়ালেখা,পড়ালেখা
এইচএসসি,এইছএদসি
বিশ্ববিদ্যালয়ে,বিশবিদ্যালয়ে
হারানো,হা োনো
পড়াশোনার,পএাশোনার
অভিজ্ঞতার,অ‍বিজ্ঞতার
বঞ্চিত,বঞছঅত
গুলিবিদ্ধ,গুকিবিদ্ধ
গরু,ফরু
প্রথমে,পংরথমে
বরিশালের,ভরিশালের
চিকিৎসা,চ◌ীকিতসস
ঘটলে,ঘটলে
নিচ,ণ◌ীচগ
এপ্রিল,এপংরিক
প্রতিক্রিয়া,পংরতিক্রিয়া
স্বরাষ্ট্রমন্ত্রী,সরাষ্ট্রমন্ত্রী
খাতুন,খাত◌ূন
সমালোচনার,সনালোচনার
দেরিতে,দের◌ীতে
স্বরাষ্ট্র,সরাষ্ট্র
হাকিমের,গাকিমের
নির্যাতনের,ণিরাাতনের
বেগমের,বরগমের
নিষ্পত্তি,ণিষ্পত্তি
ন্যায়বিচার,েনসয়বিচার
আইনি,আইনি
তরুণের,তর◌ূণের
দেখাবে,সেখাবে
জাহানারা,জাহসনারা
পথচারী,পতচারী
রিয়াজ,রিয়সজ
দিলাম,ডিকাম
অমানবিক,ইমানবিক
সাক্ষ্য,সাক্ক্য
মাথার,নাথার
ফুলে,গুলে
এবারের,এবারের
বর্ণনা,বরংণবা
তারপর,তারপর
শত,আহত
ধর,শর
ঢুকে,ঢুকে
ভেজা,ভেজস
মারতে,মারতে
জামা,জামা
একেক,একেক
বাঁধা,বাঁদজা
সিরাজগঞ্জের,আিরাজগঞ্জের
কানে,কানর
অনেকগুলো,অমেকগুলো
কয়েকজনের,কয়েকজনের
করছিলাম,করছ◌ীলসম
মারার,মারার
মুন,মুব
লিমিটেড,ল◌ীমিতেড
শিক্ষকদের,শ◌ীক্ককদের
নীল,বীল
পদের,পদের
ভোটারের,ভপটারের
ফজলুল,ফজল◌ূল
শাহ,শাহ
বিজ্ঞান,ব◌ীজ্ঞান
অনুষদের,ওণুষদের
ডিন,ডিন
দুর্যোগ,ড◌ূরাোগ
ব্যবসায়,েববসায়
আখতারুজ্জামান,আকতারুজ্জামান
আফতাব,আদতাব
শিক্ষকেরা,শিক্ককেরা
আখতার,আকগতার
গতির,গত◌ীর
ঘূর্ণিঝড়,ফগূর্ণিঝড়
ফুট,ফুট
উপকূলীয়,উওকূলীয়
বাগেরহাটের,বসগেরহাটের
নদ,মদ
তারই,তারই
পার্শ্ববর্তী,পসর্শ্ববর্তী
অন্তঃসত্ত্বা,ইন্তঃসত্ত্বা
সেন্ট,দেন্ট
টিকে,টিকে
রাখলেন,রাখলোন
পৃথিবীর,পৃথ◌ীভীর
নামক,নামল
গর্ব,ফর্ব
দাদা,দাডা
মাছ,মাভহ
ধরেন,ফহরেন
কানের,কানের
কষ্ট,লষ্ট
ডাক্তার,ফাক্তার
খেলছে,খেলছে
কমলাপুর,কমলাপুর
স্টেশনে,স্তেশনে
রেলের,রেকের
হাফিজুর,হাফিজ◌ূর
আইজিপি,আঈজিপি
রেঞ্জের,রেঞজের
ডিআইজি,ডিআইজি
আহসান,আহসান
রেলওয়ের,রেকওয়ের
কাশেম,কাশেম
কমান্ডার,কমাণ্দার
শহীদুল,ষহীদুক
পরা,পরা
লোকেরা,লোকেরা
দরজা,দতজা
আসবাব,আআবাব
নগদ,ণগড
লুট,কুট
ঘটিয়েছে,ফগটিয়েছে
তহবিলে,তহবিকে
সাংসদদের,আাংসদদের
উদ্ধৃত,ইদ্ধৃত
সম্মত,সমত
অনুদান,অবুদান
সিদ্ধান্তের,সিদ্ডান্তের
দুর্বল,ড◌ূরল
এজেন্টদের,এজেণ্টদের
পরিচালনার,পরিচালমার
স্বার্থে,সার্থে
সহায়তার,সহায়তার
বিরোধিতা,বিরপধিতা
নাগরিকের,নাফরিকের
বদিউল,বদ◌ীঊল
অর্থে,অরংটে
অর্থের, ির্থের
একধরনের,একধ েনের
দম্পতির,ডপতির
সপ্তাহ,সপ্তাহ
খানেক,খামেক
বাদশা,ভাদশা
দিয়া,দিয়স
দেব,দেব
নিষেধ,নিষেদ
নম্বরে,নবরে
বিকাশ,বিকাশ
মেধাবী,মরধাবী
বাংলায়,বাংলায়
ইউএনও,ইঊএনও
খোঁজখবর,খপঁজখবর
ইউপির,উউপির
মন্ত্রীর,মণ্ত্রীর
আগ্রহের,সগ্রহের
লেখাপড়া,লেকাপরা
অনুষ্ঠেয়,অমুষ্ঠেয়
উদ্বেগের,উদেগের
শাহরিয়ার,শাহর◌ীয়ার
মাইক,মাইক
দুদিন,ডুদিন
প্রবীণ,পংরবীণ
বেলাল,বরলাল
সংকটের,সংকরের
সাইকেল,সসইকেল
পঞ্চগড়,পঞছগড়
মাধ্যম,মােধম
সুষ্ঠু,সুষ্টু
লক্ষ্যে,লক্ক্যে
দলগুলোর,সলগুলোর
ব্রিফিংয়ে,র◌ীফিংয়ে
হতাশার,হতাশার
লাগানো,লাগানো
পল্লী,পল্লী
আশরাফুল,আআহরাফুল
নিরসনে,ন◌ীরদনে
সংলাপের,সবলাপের
তাগিদ,তাফিদ
সঙ্গেও,সংগেও
বিবৃতি,ব◌ীবৃতি
ফের,ফের
আছি,সছি
ক্রমবর্ধমান,কংরনবর্ধমান
প্রতিফলন,পংরত◌ীফলন
খুঁজে,খুঁজে
বলেননি,বলেনবি
কোর্টে,লোর্টে
এগুলোর,এগ◌ূলোএ
পুনরায়,প◌ূনরায়
ব্যক্ত,েবক্ত
কূটনৈতিক,কূটবৈতিক
বিষয়টিও,ভিষয়টিও
দেলোয়ার,সেলোয়ার
মাহমুদা,মাগমুদা
ছয়জনের,ছয়জমের
গ্রেপ্তারি,গংরেপ্তার◌ী
পরোয়ানা,পরোউানা
ফেব্রুয়ারির,দেব্রুয়ারির
আসামিদের,আসানিদের
আশুলিয়া,আআহুলিয়া
এমডি,এনডি
সিআইডি,সঅআইডি
মালিকের,মালিকোর
মোর্শেদ,মপর্শেদ
উৎপাদন, িৎপাদন
দুলাল,দ◌ূলাল
আমীন,আমীণ
আনিসুর,আনিসুর
তাঁরাও,তাঁরসও
মহড়া,মহরা
নামতে,নামরে
তদন্তের,তডণ্তের
মোরশেদ,মপরশেদ
পাচারের,পসচারের
দুদক,দুদক
নাসরিন,ণাসর◌ীব
দুদকের,দুদকের
উপপরিচালক,উ োপরিচালক
মানি,মানি
এজাহার,এজাহার
পাচার, োাচার
থাকাকালে,থসকাকালে
ব্যাংকে,েবসংকে
স্ট্যান্ডার্ড,স্ত্যান্ডার্ড
নীলফামারী,বীলফামারী
ট্রাইব্যুনাল,তংরাঈব্যুনাল
ফজলে,ফজলো
চাকরির,ছাকরির
মানবতাবিরোধী,মানবতাবউরোধী
অপরাধের,অপরাধোর
আদেশ,সদেশ
সমন্বয়,সমনয়
ট্রাইব্যুনালে,তংরসইব্যুনালে
রাষ্ট্রপক্ষের,রাষ্ত্রপক্ষের
সংবর্ধনা, াংবর্ধনা
সিরাজগঞ্জ,সউরাজগঞ্জ
দায়রা,দায়রা
হাইকোর্ট,যাইকোর্ট
খায়রুল,খসয়রুল
সমন্বয়ে,সনন্বয়ে
দ্বৈত,দৈত
বেঞ্চ,বেঞছ
সিনেমা, ািনেমা
হলের,হলেত
মালিকানা,মসলিকানা
ট্রাইব্যুনালের,তংরাইব্যুনালের
পদত্যাগ,পদেতাগ
হোসাইন,হো াাইন
সালাউদ্দিন,সালাউড্ডিন
একাত্তরে,একাত্তরে
গণহত্যা,গণহতাা
অপহরণ,অপহএণ
আনোয়ারুল,সনোয়ারুল
সূচনা,সূছনা
আদেশে,সদেশে
একাত্তরের,একাত্তরের
সেনা,সেনা
পাবনার,পাবণাত
ঈশ্বরদী,ঈশতদী
জামে,জসমে
মসজিদ,মসজিড
সেনারা,সেনারা
এপ্রিলের,এপংরঅলের
মে,নে
অপহরণের,পপহরণের
সেনাদের,সেণাডের
নামাজের,ণানাজের
পাবনা,পাবনা
চাঁদ,ছসঁদ
অনুসারে,ওনুসারে
পাড়,পাড়
গণহত্যার,হণহত্যার
দোষী,ডোষী
ফৌজদারি,ফৌজদসরি
বিচারাধীন,বিচসরাধীন
ব্রাহ্মণবাড়িয়ার,রসহ্মণবাড়িয়ার
মতিউর,মরিউর
অপেক্ষমাণ,ও োেক্ষমাণ
সীমান্ত,সীমাণ্ত
মহলের,মহলরর
সাহায্য,আাহায্য
অনিল, িনিল
পশ্চিমবঙ্গ,পশ্চিমভঙ্গ
রাজ্য,রােজ
সুন্দরবন,স◌ূণ্দরবন
জোরদার,জোরডা ে
সীমান্তে,সীমাণ্তে
জিরো,জউরো
নীতি,মীতি
চেয়েছে,চগেয়েছে
শতাংশই,ষতাংসই
উঠছে,ঊঠচজে
বিএসএফের,ব◌ীএসএফের
মহাপরিচালক,নহাপরিচালক
মহাপরিদর্শক,মহাপর◌ীডরংসক
পেশ,ওেশ
সঞ্জয়,সঞজউ
কুমিল্লার,কুনিল্লার
ছাত্রদলের,ছাতংরদলের
সাদ্দাম,সাড্ডাম
মাসুম,নাসুম
ক্ষিপ্ত,খ◌ীপ্ত
পিস্তল,পিস্তল
বিল্লাল,বিল্লাল
পথেই, োথেই
আলতাফ,আকতাফ
মিঠুন,মিঠুব
নাটোর,ণাটোএ
ঘরবাড়ি,হজরবাড়ি
যুদ্ধ,য◌ূদ্ড
পীরগঞ্জ,পীরগঞ্জ
রংপুরে,রংওুরে
উদ্দেশ,উড্ডেশ
গরিব,গতিব
পেটে,পেতে
দেশজুড়ে,ডরশজুড়ে
রাজাকার,রাজাকার
ধর্ষণ,ধরংষণ
সৈয়দপুর,দৈয়দপুর
অবতরণ,অবতরণ
ওঠেন,ওতেন
মিনিটের,ম◌ীনিটের
ওয়াজেদ,ওউাজেদ
সেরে,সেরে
নাজমা,ণাজমস
স্বামীকে,সামীকে
ঠেকাতে,রহেকাতে
মেরে,মেরে
লাশের,লাশরর
বুকের,নুকের
আঘাতের,আফগাতের
তাপস,রাপস
ভ্যানে,ভাানে
জিডি,হিডি
শেরপুর,শোরপুর
সংহতি,সবহতি
শেরপুরের,শেরপুরের
আশঙ্কায়,আশংকাউ
দ্বন্দ্ব,দন্দ্ব
ভঙ্গ,বংগ
বরখাস্ত,বরখাস্ত
মাহমুদুল,নাহমুদুল
যোগদান,য িগদান
আমিনুল,সমিনুল
শর্তে,শরংতে
পরিচালকের,পর◌ীচগালকের
চৌধুরীকে,চৌডুএীকে
সমবায়,সমবাত
চিঠিতে,ভহিঠিতে
বাতিলের,বারিলের
প্রযোজ্য,পংরযোজ্য
উত্থাপন,ঊত্টাপন
ব্রাহ্মণবাড়িয়া,রাহ্মণবাড়িয়া
সরাইল,দরাইল
বকর,বকর
তথা,তথা
প্রতীকে,পংররীকে
মানবাধিকার,মাণভাধিকার
হত্যাকাণ্ড,গত্যাকাণ্ড
রিপোর্টার্স,রিপোরংতার্স
জঙ্গিবাদ,জংগিবাদ
সন্ত্রাসবাদ,সণ্ত্রাসবাদ
টিভি,টি‍বি
চ্যানেলে,েচানেলে
অনুসন্ধানের,ওণ◌ূসণ্ধানের
বিশেষত,নিশেষত
আকার,আকার
কবিরের,কবউরের
পরিচয়ে, োরিচয়ে
অধিকারের,অধিকারের
অবস্থানে,অবস্টানে
প্রতিবন্ধী,পংররিবন্ধী
পিতা, োিতা
বৈদেশিক,বইদেশিক
কর্মসংস্থান,করসংস্থান
অভিবাসী,অভিবাসী
নদী,মদী
রক্ষা,রক্কা
প্রণয়ন,পংরণয়ন
বাস্তবে,বাস্তবে
রায়হান,রায়হাণ
চাঁপাইনবাবগঞ্জ,চাঁওাইনবাবগঞ্জ
প্রকাশনা,পংরকাষনা
ইসলামিক,উসলামিক
টিভির,টঅভির
সংখ্যালঘুদের,সমখ্যালঘুদের
সম্প্রদায়ের,সপ্রদায়ের
মন্দির,মণ্দির
প্রতিমা,পংরতিমা
ওপরও,ওপরই
আদিবাসীদের,আডিবাসীসের
আত্মহত্যা,আতযত্যা
শিক্ষাপ্রতিষ্ঠান,শিক্কসপ্রতিষ্ঠান
কর্মস্থলে,করস্থলে
যৌন,যন
নিপীড়ন,ন◌ীপীড়ন
প্লাজা,প্লাজা
স্বাভাবিকভাবেই,সাভাবিকভাবেই
অনুরোধে,অনুরোধে
লক্ষ্মীপুর,লক্ক্মীপুর
হাট,হাট
মূল্যবান,মূলাবাব
তহবিলের,তহভিলের
পুকুরের,প◌ূক◌ূরের
অনিয়মের,অন◌ীয়নের
আগ,আগ
অনিয়ম,ওণিয়ম
আচরণের,আভরণের
প্রভাষক,পংরবাষক
নারীকে,না েীকে
অনৈতিক,অনৈত◌ীক
কাম,কাম
অপারেটর,ওপাররটর
জ্ঞান,গান
ক্ষুব্ধ,খুব্ধ
ঊর্ধ্বতন,ঊরংদ্বতন
যন্ত্র,জণ্ত্র
মণ,মণ
কর্মচারীরা,করচারীরা
ম্যাগাজিন,েমসগাজিন
উত্তোলন,উত্ত িলন
বলছি,বকছি
মোড়ে,মোড়ে
কল্যাণ,কেলাণ
শান্তির,শাণ্তির
ধর্ম,ধর
ঘৃণা,ঘৃণস
ফরহাদ,গরহাদ
রাজনীতিতে,রসজনীতিতে
দোষ,দোষ
স্নাতক,স্ণাতক
উপাচার্য,ইপাচার্য
তিনটা,তউনটা
বার,বাত
লুকিয়ে,লুকিয়ে
শুল্ক,শুল্ক
সাহায্যে,সাহাযাে
আমানত,আনানত
নামেন,ণানেন
পুলিশে,পুল◌ীশে
হাউসের,হাউ াের
বারের,বসরের
ওজন,ওজম
আনুমানিক,আনুমাণ◌ীক
মতলব,মতকব
রোগে,রোগে
গবেষণা,ফবেষণা
শীতের,আহীতের
রোগ,রপগ
রোগী,রোগী
খেতে,খোতে
শীতে,শীতে
দুধ,ফুধ
পাকা,পসকা
খাওয়ার,খাইয়ার
মেনন,মেনন
পাকিস্তানে,পাকিস্তানে
টেলিযোগাযোগ,টেল◌ীযোগাযোহ
বিটিআরসি,বিটিআরআি
প্রতিষ্ঠানগুলোর,পংরতিষ্ঠাণগুলোর
জাদুঘর,জাদুফগর
সম্মাননা,সমাননা
উৎসব,উরসব
বনাম,বনাম
মাঝামাঝি,মাজামসঝি
সুশীল,দুশীল
হাঁটার,হসঁটার
বাগান,বসগান
বিএনপিকে,নিএনপিকে
বিটিআরসির,ব◌ীটঅআরসির
সুনীল,সুণীক
গিয়াস,গ◌ীয়সস
স্মার্টফোন,সার্টফোন
সিম,সিম
সিংহ,সিঙহ
বিপ্লবী,নিপ্লবী
গঠনে,গটনে
বাঙালির,বাঙালির
মুক্তিযুদ্ধ,মুক্তিজুদ্ধ
জাদুঘরে,জাড◌ূঘরো
মেলা,মোলা
সিপিবি,স◌ীপঅবি
মনজুরুল,ননজুরুল
মৃত্যুবার্ষিকী,মৃেতুবার্ষিকী
অজয়,ওজয়
সদস্যসচিব,সসস্যসচিব
আকাশ,আলাশ
আয়েশা,সয়েশা
খানম,খসনম
সংবাদের,সংবাডের
সাতটায়,সাতটায়
পুষ্পস্তবক,পুষ্পস্তবক
রবিন,তবিন
দুপুরের,দ◌ূপ◌ূরে ে
মাটি,মসটি
পায়ের,পায়ের
জুলফিকার,জুলগিকার
শিশুটিকে,শ◌ীসজুটিকে
গর্ত,গরংত
রাখে,রাখর
জাহান,জাহাণ
সিরাজ, ািরাজ
রউফ,রউদ
আফজাল,আফজাল
ওষুধ,ওষুদ
ওষুধের,ওষ◌ূডরর
বিপাকে,নিপাকে
কিশোরগঞ্জ,কিঢোরগঞ্জ
নিবন্ধন,নিবণ্ধন
রোগীকে,তোগীকে
সংকটে,সংকটো
নাহার,নাহার
পাইনি,পসইনি
ডায়াবেটিস,ডায়াবোটিস
এমনটি,এমনট◌ী
স্টেশন,স্তরশন
অপেক্ষা,অ োেক্ষা
আত্মীয়ের,আতীয়ের
ট্রেনে,তংরেণে
সাদেক,সসদেক
আহম্মদ,আহমড
কিশোরগঞ্জের,কউশোরগঞ্জের
সিভিল,সিভ◌ীল
সার্জন,আার্জন
পণ্ডিত,পণ্দির
খতিয়ে,কতিয়র
কসবা,কসবা
দুর্ঘটনায়,সুর্ঘটনায়
উল্টে,উল্তে
জাদুঘরের,জাড◌ূহজরের
ডেপুটি,সেপুটি
খোন্দকার,খোণ্দকসর
ইব্রাহিম,ঈরাহিম
আসাম,আসসম
বেঙ্গল,বেংগল
আহমেদের,আহমোদের
সুনামগঞ্জের,সুনামগঞ্জের
নূরুল,নূতুল
সুবিধাবঞ্চিত,সুবিধাবঞছিত
মাঝে,মাঝে
পর্ষদ,পরংষদ
শফিকুর,সফিযুর
লভ্যাংশ,লভাাংঢ
সিমেন্ট,সিনেন্ট
হাউস,হাউদ
আরিফুল,আতিফুল
আনসার,আবসার
প্রতিষ্ঠাতা,পংরতিষ্ঠাতা
ইন্তেকাল,ইণ্তেকাল
স্কয়ার,স্কয়ার
কবরস্থানে,লবরস্থানে
মরদেহ,মরদেহ
দাফন,ফাফন
উদ্দিনের,ঊড্ডিনের
আত্মীয়স্বজন,সত্মীয়স্বজন
স্বত্বাধিকারী,সত্বাধিকারী
শিল্পমন্ত্রী,শিল্পনন্ত্রী
দুস্থ,ডুস্ত
খাবার,কগাবার
