গাজীপুরের,গাজীপ◌ূরের
ব্যাংকে,েবাংকে
স্ট্যান্ডার্ড,স্ত্হান্ডার্ড
নীলফামারী,নীকফামারী
ট্রাইব্যুনাল,তংরসইব্যুনাল
ফজলে,ফজলে
চাকরির,চাকএির
মানবতাবিরোধী,মসনবতাবিরোধী
অপরাধের,ওপরাদজের
আদেশ,আডোশ
সমন্বয়, ামন্বয়
ট্রাইব্যুনালে,তংরসইব্যুনালে
রাষ্ট্রপক্ষের,তাষ্ট্রপক্ষের
সংবর্ধনা,সমবর্ধনা
সিরাজগঞ্জ,আিরাজগঞ্জ
দায়রা,ডায়এা
হাইকোর্ট,হাইকোরংত
খায়রুল,খায়এুল
সমন্বয়ে,সমনতে
দ্বৈত,দৈত
বেঞ্চ,বেঞছ
সিনেমা,সঅনেমা
হলের,হলের
মালিকানা,মালিকামা
ট্রাইব্যুনালের,তংরাঈব্যুনালের
পদত্যাগ,পডতাাগ
হোসাইন,হোসাইণ
সালাউদ্দিন,সালাঊড্ডিন
একাত্তরে,একাত্তরে
গণহত্যা,ফণহত্যা
অপহরণ,অপহরম
আনোয়ারুল,সনোয়ারুল
সূচনা,আূচনা
আদেশে,সদেশে
একাত্তরের,একসত্তরের
সেনা,সেণা
পাবনার,পাননার
ঈশ্বরদী,উশ্বরদী
জামে,জামে
মসজিদ,মসজিড
সেনারা,সেনসরা
এপ্রিলের,এপংরঅলের
মে,মে
অপহরণের,অপহএণের
সেনাদের, ােনাদের
নামাজের,ণামাজোর
পাবনা,পাবনা
চাঁদ,ছাঁদ
অনুসারে,অন◌ূসসরে
পাড়,পাড়
গণহত্যার,গণহেতার
দোষী,ডোষী
ফৌজদারি,ফৌজদার◌ী
বিচারাধীন,ব◌ীভহারাধীন
ব্রাহ্মণবাড়িয়ার,রসহ্মণবাড়িয়ার
মতিউর,মরিউর
অপেক্ষমাণ, িপেক্ষমাণ
সীমান্ত,আীমান্ত
মহলের,মহলের
সাহায্য,সাহসয্য
অনিল,ওনিল
পশ্চিমবঙ্গ,পশ্চিনবঙ্গ
রাজ্য,রােজ
সুন্দরবন,সুণ্দ েবন
জোরদার,জ িরদার
সীমান্তে, াীমান্তে
জিরো,জিরো
নীতি,নীরি
চেয়েছে,ভেয়েছে
শতাংশই,শরাংশই
উঠছে,উঠছে
বিএসএফের,বিএআএফের
মহাপরিচালক,মহাপর◌ীচগালক
মহাপরিদর্শক,মহা োরিদর্শক
পেশ,পেষ
সঞ্জয়,সঞজয়
কুমিল্লার,কুনিল্লার
ছাত্রদলের,ছাতংরদলের
সাদ্দাম,সাড্ডাম
মাসুম,মসসুম
ক্ষিপ্ত,খিপ্ত
পিস্তল,পিস্তক
বিল্লাল,নিল্লাল
পথেই,পতেউ
আলতাফ,আকতাফ
মিঠুন,নিঠুন
নাটোর,নাতোর
ঘরবাড়ি,হজরবাড়ি
যুদ্ধ,জ◌ূদ্ড
পীরগঞ্জ,পীরফঞ্জ
রংপুরে,রঙপুরে
উদ্দেশ,উড্ডেশ
গরিব,গর◌ীব
পেটে,পোটে
দেশজুড়ে,দেসজজুড়ে
রাজাকার,রাজাকার
ধর্ষণ,দজর্ষণ
সৈয়দপুর,দৈয়দপুর
অবতরণ,ওবতরণ
ওঠেন,ওটেন
মিনিটের,মিনিটের
ওয়াজেদ,ইয়াজেদ
সেরে,সেরে
নাজমা,নাজনা
স্বামীকে,সসমীকে
ঠেকাতে,রহেকাতে
মেরে,মোরে
লাশের,লাঢের
বুকের,ব◌ূকের
আঘাতের,সঘাতের
তাপস,রাপস
ভ্যানে,ভাানে
জিডি,জউডি
শেরপুর,শররপুর
সংহতি,সঙগতি
শেরপুরের,শেএপুরের
আশঙ্কায়,আসংকায়
দ্বন্দ্ব,দন্দ্ভ
ভঙ্গ,ভংগ
বরখাস্ত,বরখাস্ত
মাহমুদুল,মাযমুদুল
যোগদান,হোগদান
আমিনুল,আম◌ীনুল
শর্তে,ষরংতে
পরিচালকের,প েিচালকের
চৌধুরীকে,চৌধুরীকে
সমবায়,সমবায়
চিঠিতে,ভিঠিতে
বাতিলের,বসতিলের
প্রযোজ্য,পংরযোেজ
উত্থাপন,উত্তাপন
ব্রাহ্মণবাড়িয়া,রাহ্মণবারিয়া
সরাইল,সরাউল
বকর,বকর
তথা,তরহা
প্রতীকে,পংরতীকে
মানবাধিকার,নানবাধিকার
হত্যাকাণ্ড,হেতাকাণ্ড
রিপোর্টার্স,রি োোর্টার্স
জঙ্গিবাদ,জংগিবাদ
সন্ত্রাসবাদ,সণ্ত্রাসবাদ
টিভি,ত◌ীভি
চ্যানেলে,চাানেলো
অনুসন্ধানের,ইনুসন্ধানের
বিশেষত,ভিশেষত
আকার,আকার
কবিরের,কভিরের
পরিচয়ে,ওরিচয়ে
অধিকারের,ইধিকারের
অবস্থানে,অবস্তানে
প্রতিবন্ধী,পংরতিবন্ধী
পিতা,ওিতা
বৈদেশিক,বৈসেশিক
কর্মসংস্থান,যর্মসংস্থান
অভিবাসী,ইভিবাসী
নদী,বদী
রক্ষা,রক্কা
প্রণয়ন,পংরময়ন
বাস্তবে,বাস্তবে
রায়হান,রসয়হান
চাঁপাইনবাবগঞ্জ,ছসঁপাইনবাবগঞ্জ
প্রকাশনা,পংরযাশনা
ইসলামিক,ইসকামিক
টিভির,টিবির
সংখ্যালঘুদের,আংখ্যালঘুদের
সম্প্রদায়ের,আম্প্রদায়ের
মন্দির,নন্দির
প্রতিমা,পংরতিমা
ওপরও,ওপরও
আদিবাসীদের,সদিবাসীদের
আত্মহত্যা,আতগত্যা
শিক্ষাপ্রতিষ্ঠান,শ◌ীক্কাপ্রতিষ্ঠান
কর্মস্থলে,লর্মস্থলে
যৌন,যৌন
নিপীড়ন,ণিপীরন
প্লাজা,প্লসজা
স্বাভাবিকভাবেই,সাভাবিকভাবেই
অনুরোধে,অনুরোফহে
লক্ষ্মীপুর,কক্ষ্মীপুর
হাট,হার
মূল্যবান,মূল্যবান
তহবিলের,তহবিকের
পুকুরের,পুকুরের
অনিয়মের, িনিয়মের
আগ,আগ
অনিয়ম,ওণউয়ম
আচরণের,আছরণের
প্রভাষক,পংরভাষক
নারীকে,নারীকে
অনৈতিক,অণইতিক
কাম,কাম
অপারেটর,ওওারেটর
জ্ঞান,গান
ক্ষুব্ধ,খ◌ূব্ধ
ঊর্ধ্বতন,ঊরংড্বতন
যন্ত্র,জণ্ত্র
মণ,নণ
কর্মচারীরা,করভারীরা
ম্যাগাজিন,েমাগাজিন
উত্তোলন,উত্তোকন
বলছি,বকছি
মোড়ে,নোড়ে
কল্যাণ,কলাাণ
শান্তির,শসন্তির
ধর্ম,দজর্ম
ঘৃণা,ঘরিণা
ফরহাদ,ফরহাদ
রাজনীতিতে,রাজণীতউতে
দোষ,দোষ
স্নাতক,স্ণাতক
উপাচার্য,ইপাচার্য
তিনটা,তিনটা
বার,বার
লুকিয়ে,ল◌ূকিয়ো
শুল্ক,আহুল্ক
সাহায্যে,সাহােযে
আমানত,আমাণর
নামেন,ণামেব
পুলিশে,প◌ূলিশো
হাউসের,হাঊসের
বারের,বসরের
ওজন,ওজব
আনুমানিক,সনুমানিক
মতলব,মতলব
রোগে,রোগে
গবেষণা,গবেআহণা
শীতের,শীতের
রোগ,তোগ
রোগী,এোগী
খেতে,খেতো
শীতে,শীতে
দুধ,দুধ
পাকা, োাকা
খাওয়ার,খাইয়ার
মেনন,মেনন
পাকিস্তানে,পাকিস্তানে
টেলিযোগাযোগ,টেলিজোগাজোফ
বিটিআরসি,বিট◌ীআরদি
প্রতিষ্ঠানগুলোর,পংরতিষ্ঠানগুলোর
জাদুঘর,জাফুঘর
সম্মাননা,সমামনা
উৎসব,ইৎসব
বনাম,বণসম
মাঝামাঝি,নাঝামাঝি
সুশীল,আুশীল
হাঁটার,হাঁটার
বাগান,বাহান
বিএনপিকে,বিওনপিকে
বিটিআরসির,বিটিআরসিএ
সুনীল,সুনীল
গিয়াস,গিুাস
স্মার্টফোন,সারংতফোন
সিম,সিম
সিংহ,সউংহ
বিপ্লবী,নিপ্লবী
গঠনে,গতনে
বাঙালির,বাবালির
মুক্তিযুদ্ধ,মুক্তিযুদ্ধ
জাদুঘরে,জাদুঘরে
মেলা,মরলা
সিপিবি,স◌ীপ◌ীব◌ী
মনজুরুল,মণহুরুল
মৃত্যুবার্ষিকী,মৃতা◌ূবার্ষিকী
অজয়,অজয়
সদস্যসচিব, াদস্যসচিব
আকাশ,সকাশ
আয়েশা,আয়েশস
খানম,খানম
সংবাদের,সমবাদের
সাতটায়,সাতটসয়
পুষ্পস্তবক,পুষ্পস্তবক
রবিন,রবিণ
দুপুরের,ফুপুরের
মাটি,মাতি
পায়ের,পসয়ের
জুলফিকার,কুলফিকার
শিশুটিকে,স◌ীষ◌ূটিকে
গর্ত,গরংত
রাখে,তাখে
জাহান,জাহাণ
সিরাজ,দিরাজ
রউফ,রউগ
আফজাল,আফজাল
ওষুধ,ওসগুধ
ওষুধের,ওষ◌ূধের
বিপাকে,বঅপাকে
কিশোরগঞ্জ,যিশোরগঞ্জ
নিবন্ধন,ণিবণ্ধন
রোগীকে,রোগীকে
সংকটে,সংযটে
নাহার,নাহাএ
পাইনি, োাইনি
ডায়াবেটিস,ফায়াবেটিস
এমনটি,এমনরি
স্টেশন,স্তেশন
অপেক্ষা,অপেক্কা
আত্মীয়ের,আতীয়ের
ট্রেনে,তংরেণে
সাদেক,সাদরক
আহম্মদ,আগম্মদ
কিশোরগঞ্জের,যিশোরগঞ্জের
সিভিল,স◌ীভঅল
সার্জন,সারংজম
পণ্ডিত,পণ্দ◌ীত
খতিয়ে,লহতিয়ে
কসবা,কদবা
দুর্ঘটনায়,দ◌ূরংঘটনায়
উল্টে,ঊল্তে
জাদুঘরের,জসদুঘরের
ডেপুটি,ডেপ◌ূতউ
খোন্দকার,কোণ্দকার
ইব্রাহিম,ইরাযিম
আসাম,সসাম
বেঙ্গল,বেংগক
আহমেদের,আহমেদেএ
সুনামগঞ্জের,সুনসমগঞ্জের
নূরুল,নূরুক
সুবিধাবঞ্চিত,স◌ূনিধাবঞ্চিত
মাঝে,নাঝে
পর্ষদ,পরংষদ
শফিকুর,ষফিকুর
লভ্যাংশ,লভাাংঢ
সিমেন্ট,আিমেন্ট
হাউস,যাউস
আরিফুল,আরিফুল
আনসার,আনসার
প্রতিষ্ঠাতা,পংরতিষ্টসতা
ইন্তেকাল,ইণ্তেকাল
স্কয়ার,স্কয়ার
কবরস্থানে,কনরস্থানে
মরদেহ,মরদেহ
দাফন,দসফন
উদ্দিনের,ঊড্ডিনের
আত্মীয়স্বজন,সত্মীয়স্বজন
স্বত্বাধিকারী,সত্বাদিকারী
শিল্পমন্ত্রী,শিল্পমন্ত্রী
দুস্থ,দুস্ত
খাবার,খাবসর
বিদ্রোহীদের,নিদ্রোহীদের
লড়াইয়ের,লড়সইয়ের
মাইল,মসইল
আসছিল,আসচজিল
সাক্ষাৎকারে,সসক্ষাৎকারে
প্রতিনিধিদল,পংরতিণিধিদল
ভাগাভাগি,ভাগাবসগি
ক্ষমতার,খমতার
আপনি,আপনি
আরোপ,আরপপ
বিবৃতিতে,বিবৃতিতে
জাতিগত,জাত◌ীগত
বিভিন্নভাবে,বিচিন্নভাবে
বন্দুকযুদ্ধে,বণ্দুকযুদ্ধে
ওয়ার্ডের,ওয়সর্ডের
ভাষ্যমতে,চাষ্যমতে
বন্দুক,বণ্দুক
তারিক,তসরিক
পরিকল্পিত,ওরিকল্পিত
আরমান,আরনান
গোপন,গোওন
ইসমাইল,ঈদমাইল
সহযোগীরা,সগযোগীরা
পেছনের,পেছণের
চাঁদাবাজির,চগাঁদাবাজির
দূতাবাসের,ডূতাবাসের
শুষ্ক,শুষ্ক
হাওয়া,গাওয়া
বাতাসে,বাতাসে
ত্বক,তক
ফেটে,দেটে
ত্বকের,তযের
যত্ন,যত্ণ
সতর্কতা,সতরংকতা
আবহাওয়ার,আবযাওয়ার
ভাব,বসব
বাড়াতে,নাড়াতে
অথবা,ওরহবা
চুলের,ছুলের
অ্যাসিড,অাসসিড
মুখের,মুখের
ক্রিম,কংর◌ীম
যাঁদের,জাঁডের
মিশিয়ে,ম◌ীশঅয়ে
শীত,সীত
এতটাই,এতটসই
চামড়া,চগামড়া
রক্ত,রক্ত
গরম,হরম
পানিতে,পামিতে
নিন,বিন
ব্যাগে,েবাগে
রাখুন,তাখুন
সচেতন,সছেরন
ইসরায়েল,ইস োয়েল
ইসরায়েলের,ইআরায়েলের
কারাগার,কারাগার
তীর,তীর
ইসরায়েলি,অসরায়েলি
আবেদনের,আনেদনের
বিলম্ব,বিলব
চুক্তির,ভহুক্তির
চেষ্টার,চেষ্তার
আটজন,আটজন
বীর,বীর
তীরে,তীরে
বসতি,বসতি
সেটাই, ােটাই
বসবে,বসবে
খেত,কজেত
এমনটা,এমমটা
মাঝারি,মাজার◌ী
ভিটামিন,ভ◌ীরামিন
চমৎকার,চমতকার
উৎস,উৎস
আপনার,আপনা ে
চাহিদার,চাযিদার
ক্যানসারের,েকাণসারের
চোখের,চোকের
সবজির,আবজির
কাঁচা,কাঁচা
সেদ্ধ,সোদ্ধ
রান্না,রাহ্না
গান্ধীর,গসন্ধীর
প্রশস্ত,পংরশস্ত
বিদেশের,নিদেশের
কংগ্রেস,কংগংরোস
পত্রিকায়,পতংরিকায়
অধিবেশন,ওধিবেশন
ইতিমধ্যেই,উতিমধ্যেই
জোড়া,জোড়া
সম্পূর্ণ,সপূর্ণ
জোরালো,জোরালপ
শক্ত,শক্ত
অর্থনীতিতে,অরংতনীতিতে
সীমা,সীমা
ঠেলে,রহেলে
বলার,বলার
ক্ষতিপূরণ,খতিপূরণ
সেতু,সরতু
অর্থায়ন,অরংটায়ণ
দাঁড়ায়,দাঁতায়
এশীয়,এশীয়
জাপান,জা োান
দুর্নীতির,সুর্নীতির
স্থগিত,স্তহিত
পণ্য,পেণ
জুন,জুন
শর্ত,সগর্ত
মোবাইল,মোবাইল
বরাদ্দের,বএাদ্দের
গ্রামীণফোন,গংরামীণফোন
ব্লক,লয
সংলাপে,সঙলসপে
বসার,বসার
উদ্বিগ্ন,ঊদিগ্ন
অন্তর্বর্তীকালীন,অণ্তর্বরংতীকালীন
ব্যাংকটির,বাাংকট◌ীর
পদ্ধতি,পদ্ডতি
সুপারিশ,সুপার◌ীশ
গেজেট,গেকেট
প্রস্তাবের,পংরস্তানের
নিয়ন্ত্রক,নিয়ণ্ত্রক
আইনটি,আইনটি
ধাপে,ধাওে
এটির,এট◌ীর
জন্মের,জণের
ঘুমের,ফগুমের
ছন্দে,চগন্দে
ধৈর্য,দ্গৈর্য
ঘুমিয়ে,ঘুনিয়ে
নিবিড়,নিব◌ীড়
তলিয়ে,রলিয়ে
প্রণব,পংরণব
উন্নত,উহ্নত
দেশগুলো,ডরশগুলো
অনেকটাই,ইনেকটাই
একরকম,এযরকম
অগ্রসর,ওগংরসর
বৈশ্বিক,বৈশিক
ইউরোপীয়,ই িরোপীয়
জাপানের,জাপামের
ব্রাজিল,রাকিল
রাশিয়া,তাশিয়া
উচ্চ,ঊছ্ছ
ব্যাংকগুলো,বাাঙকগুলো
সুদের, াুদের
সুফল,সুফল
মেলে,মেকে
শতাংশে,শরাংশে
কমিয়ে,লমিয়ে
ভাগে,চাগে
প্রতিষ্ঠার,পংরত◌ীষ্ঠার
পূর্তি, োূর্তি
যিনি,জিনি
নেবেন,ণেবেন
ইউরো,ঈঊরো
অঞ্চল,ওঞছল
পারলেও, োারলেও
পতনের,ওতনের
ফ্রান্স,ফংরাণ্স
ইতালি,ইতাকি
যথেষ্ট,হথেষ্ট
ব্যাপকভাবে,েবাপযভাবে
মাত্রায়,মাতংরায়
আভাস,আ‍বাস
অন্যত্র,অেনত্র
কিছুর,কিছ◌ূর
দিল্লির,সিল্লির
আম,আম
সরবরাহের, ারবরাহের
করাতে,করারে
সঠিকভাবে,সতগিকভাবে
এড়িয়ে,এড়িয়ে
অজুহাতে,অজুহারে
পাবলিক, োাবলিক
সিরিয়ার,সউরিয়ার
বাশার,বাসার
প্রেসিডেন্টের,পংরেসিডেন্টের
পশ্চিমা,পশ্চ◌ীমা
বার্তায়,ভার্তায়
লেবার,লেনার
শাসনের,ষসসনের
সংখ্যক,সঙেখক
কতজন,কতজন
অপেক্ষায়,অপেক্কায়
ধারার,ধারার
রেখেছিল,তেখেছিল
স্থায়ীভাবে,স্টায়ীভাবে
পরিপূর্ণ,প েিপূর্ণ
প্রভাবিত,পংরভাভিত
তুলনামূলক,তুলনামূলক
উদার,ঊদার
মানসিকতা,নানসিকতা
সোশ্যাল,সোশাাল
সায়েন্স,আায়েন্স
অঙ্গরাজ্যের,অংগরাজ্যের
গবেষক,গবরষক
সেখানকার,সরখানকার
হলিউড,যলিউড
দৃষ্টিভঙ্গি,ডৃষ্টিভঙ্গি
জরিপের,জরিপের
প্রত্যেক,পংরত্যেক
ছবিগুলো,ছব◌ীগ◌ূকো
ইট,ইট
অভিনয়শিল্পী,অ‍বিনয়শিল্পী
মনোভাব,মনোভাব
শেখার,সেকা ে
মুম্বাই,মুবাই
ভুগছেন,ব◌ূগছরন
মনোযোগ,ননোযোগ
দুর্বলতা,দুরলতা
অংশগ্রহণকারী,অংশগংরহণকারী
পরেও,পরেই
শতাংশের,শরাংশের
ভাবনা,বাবনা
শারীরিক,সারীরঅক
চিন্তিত,চ◌ীণ্তিত
আকর্ষণীয়,সকর্ষণীয়
সৌন্দর্য,সৌণ্দরা
প্রত্যাখ্যান,পংরতাাখ্যাণ
প্রতিকার,পংরতিকার
স্মার্ট,সসর্ট
কাঁধে,কাঁধে
দারুণভাবে,দারুণচাবে
রপ্তানি,রপ্তসনি
বছরই,বছরই
অধ্যায়,ওধাায়
হয়েই,যয়েই
বিজিএমইএ,বউজিএমইএ
মালিকদের,নালিকদের
ইইউ,ইইঊ
খাত,খাত
গার্মেন্টস,গারেন্টস
প্লাজার,প্লসজার
অস্বাভাবিক,ইস্বাভাবিক
এককভাবে,একলভাবে
ব্যাহত,েবাহত
পাঠাতে,পাঠারে
সমস্যায়,সমেসায়
ক্রেতাদের,কংরেতাদের
খানিকটা,খানিকটা
ক্রেতারা,কংরেতারা
আশার,আশার
ইউরোপের,ইউতোপের
ধসের,ধসেত
স্পেনের,স্পেমের
কানাডার,কানসডার
ধীরে,দীরে
উদ্যোক্তা,উদাপক্তা
বাধাগ্রস্ত,ভাধাগ্রস্ত
স্থিতিশীল,স্টিরিশীল
জুড়ে,জুড়ে
প্রদেশের,পংরদেশের
তৎপরতা,তৎপরতা
পর্যবেক্ষণে,পেরনেক্ষণে
প্রিন্স,পংরিণ্স
সম্পদ,দম্পদ
বিনিয়োগ,বিনউয়োগ
ইরানের,ইরানের
পরমাণু,পরমাণু
অনুমান,অনুমসন
যুক্তরাজ্য,হুক্তরাজ্য
বিশেষজ্ঞদের,বিশেষজ্ঞদের
কৌশলগত,লৌশলগত
পারমাণবিক, োারমাণবিক
সিরিয়া,সিরিয়া
রাসায়নিক,রাসায়মিক
সময়সীমা,সময়সীমা
ইঙ্গিত,ঈংগিত
আবহাওয়া,আবহাওয়া
মিশন,মিআহন
ফেলার,ফোলার
বাধ্যবাধকতা,ভাধ্যবাধকতা
জাহাজে,জাহাজে
উন্নয়নে,উহ্নয়নে
অস্থিতিশীল,অস্ট◌ীতিশীল
মোটামুটি,মোরামুটি
বাস্তব,বাস্তব
মুদ্রার,ম◌ূডংরার
ধারাবাহিকভাবে,দজারাবাহিকভাবে
বিঘ্নিত,বিঘ্ণউত
মূল্যস্ফীতি,মূল্যস্ফীতি
মাইলফলক,মাইলফলক
সুখবর,সুখবর
উদ্ভাবন,ঊদ্বাবন
গ্লাস,গ্লাস
হালনাগাদ,হালমাগাদ
দৃষ্টি,দৃষ্ত◌ী
আই,আঅ
ডিভাইস,দিভসইস
বস্তু,বস্তু
ভেসে,বেসে
উঠবে,উঠবে
নিউ,ন◌ীঊ
জনবল,জনবল
যন্ত্রপাতি,যণ্ত্রপাতি
এনবিআর,এননিআর
টান,টান
মঞ্চ,নঞ্চ
কমতে,কনতে
ঘাটতি,ঘাটতঅ
আয়কর,আয়কএ
বিবেচনায়,বিবেছনায়
মজিদ,মজঅদ
বাণিজ্যে,বাণ◌ীজাে
কমাতে,কনাতে
ফেলবে,ফোলবে
সহিংস,সহঅংস
সংযোজন,সংহোজন
মূসক,নূসক
আদায়ে,সদায়ে
যতই,কতই
বিশ্বজুড়ে,ভিশ্বজুড়ে
মাত্রা,নাত্রা
বাণিজ্যিক,বাণিজািক
ভাটা,বাটা
মুনাফা,ম◌ূনাগা
হল,যল
ঋণ,ঋণ
জালিয়াতির,জালিয়সতির
বিধান,বিশান
ক্রেডিট,কংররডিট
যতটা,হতটা
প্রবাহ,পংরবাহ
বাণিজ্যের,বাবিজ্যের
আবাসন,সবাসন
আসায়,আসসয়
টাকাও,টসকাও
জোগান,হোগান
গৃহীত,গৃগীত
ছাড়,ছাড়
বর,বর
প্রকৃত,পংরকৃত
ঋণের,রিণোর
পর্ষদের,পরংষদের
অঙ্কের,অংকের
ট্রাস্ট,তংরাস্ট
সিকিউরিটি,স◌ীযিউরিটি
উত্থান,উত্টান
পতন,পতন
রচিত,রচিত
এক্সচেঞ্জ,এক্সচেঞ্জ
সংশোধনের, াংশোধনের
চালুর,চসলুর
সংস্থাটির,সংস্তাটির
পদত্যাগের,পডতাাগের
ফেব্রুয়ারিতে,গেব্রুয়ারিতে
বিলুপ্ত,বিলুপ্ত
গভর্নর,হভর্নর
খায়,কায়
প্রতিষ্ঠানে,পংরতঅষ্ঠানে
ফান্ডের,ফাণ্দের
ছাড়ার,চগাড়ার
দৈনন্দিন,ডইনণ্দিন
ভবনটি,ভবনটউ
নিষেধাজ্ঞা,ন◌ীষেফহাজ্ঞা
স্থিতিশীলতা,স্তিতিসীলতা
স্বীকৃতি,সীকৃতি
অভিজাত,ওভ◌ীজাত
আয়ারল্যান্ড,আয়ারলাান্ড
বিবেচিত,ব◌ীবেচগিত
প্রকার,পংরকার
রিচার্ড,এিচার্ড
বৃহত্তর,বৃহত্তর
পৌঁছানোর,পৌঁছসনোর
বিষয়ের,বিষুের
সৃজনশীল, াৃজনশীল
পদ্ধতির,পদ্ডরির
নমুনা,ণমুনা
প্রশ্নোত্তর,পংরশ্নোত্তর
পুষ্টি,ওুষ্টি
করো,করো
তরল,ররল
কোনটি,যোনটি
দাও,সাও
প্রাণী,পংরাণী
খাদ্য,খাদা
দেহের,ডেহোর
অভ্যন্তরে,অভাণ্তরে
বিলীন,বিলীম
পদ্ধতিতে,পদ্ডরিতে
প্রত্যক্ষ,পংরতাক্ষ
প্রদর্শিত,পংরদর্শউত
স্থানের,স্তানের
পর্দা,পরংডা
চিত্র,চঅত্র
পত্রের,পতংরের
প্রদত্ত,পংরসত্ত
বাক্য,বাকা
বহুনির্বাচনি,নহুনির্বাচনি
পর্যায়,পেরসয়
সত্যিকার,সেতিকার
ভিত্তি,ভ◌ীত্তি
নিষ্ক্রিয়,ণিষ্ক্রিয়
গ্যাস,গাাস
প্রদর্শন,পংরদরংষন
স্থির,স্তি ে
হ্রাস,হংরাস
ততই,ততঅ
সংঘটিত,সঙঘরিত
জিলা,জিলা
অনুশীলনের,অণ◌ূষীলণোর
মাঝি,মাঝি
উপন্যাস, িপন্যাস
ফসলের,ফসলের
কষ্টের,কষ্তের
গিয়েও,গিয়রও
কৌশলে,কশলে
কেড়ে,যেড়ে
এরা,এরস
রুখে,রুখে
ইলিশের,ইকিশের
কতটুকু,কতরুকু
মিল,ম◌ীল
প্রতিনিধিত্ব,পংররিনিধিত্ব
ইলিশ,ইকিশ
উপযুক্ত,উপযুক্ত
পাড়ার,পাড়ার
সমুদ্র,সমুদ্র
জেলেরা,জেলেরস
জাল,হাল
জেলেদের,জেলোদের
চরিত্র,ভহরিত্র
দিনমজুর,ডিনমজুর
জীবিকা,জীবিকা
সাহস,সাহস
কষ্টে,কষ্তে
ন্যায্য,েনসয্য
পরিশ্রম, োরিশ্রম
একান্ত,একসন্ত
তবুও,রবুও
দুজনই,দুজনই
দুশ্চিন্তা,দ◌ূশ্চিন্তা
গভীরভাবে,গভীরভাবে
আজকে,আজকে
বিবেচনা,বিবেচনা
বছরেও,বছরোও
সমাজে,সমাজো
জবাবদিহি,জবানদিহি
জাতি,জাত◌ী
নাগরিকেরা,বাগরিকেরা
বৈষম্যের,বৈষেমোর
অসম্ভব,ওসবব
গণ্য,গেণ
বিপদ,বঅপদ
মৌলিক,মৌকিক
অগ্রাধিকার,অগংরাধিকার
নিঃসন্দেহে,নিহসণ্দেহে
চাপিয়ে,ছা োিয়ে
লক্ষণ,লক্কণ
তাঁরাই,তাঁরসই
সামান্য,দামান্য
ভীতি,ভীরি
নামেই,নানেই
অন্ধকার,অণ্ধকার
প্রতিরোধে,পংরত◌ীরোধে
আচরণ,সচরণ
নির্ধারণের,নউর্ধারণের
তুলেছে,তুলেছে
মন্ত্রিসভায়,নন্ত্রিসভায়
যতটুকু,হতটুকু
গুনতে,ফুনতে
অভিযুক্ত,ওচিযুক্ত
ভূমিকার,ভূমিলার
প্রার্থনা,পংরারংটনা
পরিবেশের,পরিভেশের
নির্ভরশীল,বির্ভরশীল
দায়িত্বশীল,সায়িত্বশীল
করাও,করাও
কর্তব্য,লর্তব্য
লাভবান,লা‍ববান
সেটাও,সেটাও
গুরুত্বের,হুরুত্বের
পরিসরে,পরিসরে
পরিবর্তিত,পর◌ীবরংতিত
আফগানিস্তানে,সফগানিস্তানে
অগ্রগতির,পগ্রগতির
বহুজাতিক,নহুজাতিক
দাঁড়াবে,দসঁড়াবে
স্টেট,স্তেট
তারিখে,রারিখে
মকর,মকর
রাশির,রসশির
জাতক,কাতক
বিজ্ঞানী,বিজ্ঞানী
বসু,বআু
পূর্বাভাস,পূরা‍বাস
মেষ,মেসজ
সম্পাদনের,সপাফনের
পাওনা,পাওনা
বেকারদের,বেকসরদের
সন্ধান,সণ্ধাম
বৃষ,বরিষ
ব্যস্ততা,বাস্ততা
প্রেমে,পংরেনে
ভাগ্য,বাজ্ঞ
মিথুন,মিথ◌ূন
ভ্রমণ,বংরমণ
ফলপ্রসূ,ফলপংরসূ
দ্বন্দ্বের,দন্দ্বের
কর্কট,করংকট
পেশায়,পোশায়
সুনাম, াুনাম
যাবতীয়,যাবতীয়
কেনাকাটা,কেনালাটা
ব্যবসায়ে,েববসায়ে
পুষিয়ে, োুষিয়ে
প্রচারের,পংরচারের
প্রেমিক,পংরেমিক
প্রেমিকার,পংরেমিকার
আড়ালে,আড়সলে
তুলা,তুলস
যাত্রার,জাতংরার
বৃশ্চিক,বরিশ্চিক
লাগতে,লসগতে
ধনু,ধণু
মনকে,মনকে
গবেষণার,গবোষণার
কুম্ভ,যুম্ভ
মীন,মীম
কর্মসংস্থানের,করসংস্থানের
গণ,হণ
ক্রমেই,কংরনেই
অধিক,ওধিক
ওঠেনি,পঠেনি
অবলম্বন,ওবলবন
নিয়ন্ত্রিত,নিয়ণ্ত্এিত
অপেক্ষাকৃত,ওপেক্কাকৃত
দৃশ্যমান,দৃেশনান
নির্মূল,নিরূল
দেখছে,ডেঝছে
যুদ্ধের,য◌ূদ্দের
যুদ্ধে,য◌ূদ্দে
জেতার,জেতার
অস্তিত্ব,ওস্তিত্ব
চাইছে,ছাইছে
উপায়ে,উওায়ে
মাত্রার,নাত্রার
বিকাশের,বউকাশের
যতক্ষণ,যতক্কণ
মিশ্র,মিসংর
বৈশিষ্ট্য,বৈশ◌ীষ্ত্য
বলি,বলি
সমগ্র,সমগংর
কর্তৃক,করংতৃক
কাকে,কাকে
ক্ষুদ্র,খুদ্র
আংশিক,আঙস◌ীক
